source_path,target_filename,round,game,map,mech,match_id,status
G:\Videos\aasecond wave\M1 BenUpsVsBPL.mkv,mwocomp - jvn-11f - polar highlands - r1g1 - 2026-02-21.mkv,1,1,Polar Highlands,JVN-11F,29001390907328,auto_matched
G:\Videos\aasecond wave\M2 BenUpsVsBPL.mkv,mwocomp - bsk-6cs - hibernal rift - r1g2 - 2026-02-21.mkv,1,2,Hibernal Rift,BSK-6CS,29237614109941,auto_matched
G:\Videos\aasecond wave\M3 BenUpsVsBPL.mkv,mwocomp - jvn-11f - hibernal rift - r1g3 - 2026-02-21.mkv,1,3,Hibernal Rift,JVN-11F,29164599665329,auto_matched
G:\Videos\aasecond wave\M4 BenUpsVsBPL.mkv,mwocomp - on1-m - bearclaw ii - r1g4 - 2026-02-21.mkv,1,4,Bearclaw II,ON1-M,29486722214436,auto_matched
G:\Videos\aasecond wave\M5 BenUpsVsBPL.mkv,mwocomp - on1-m - bearclaw ii - r1g5 - 2026-02-21.mkv,1,5,Bearclaw II,ON1-M,29482427247125,auto_matched
G:\Videos\aasecond wave\2026-02-28 20-04-32.mkv,mwocomp - jvn-11f - bearclaw ii - r2g1 - 2026-02-28.mkv,2,1,Bearclaw II,JVN-11F,79961178477538,auto_matched
G:\Videos\aasecond wave\2026-02-28 20-16-22.mkv,mwocomp - osr-4d - polar highlands - r2g2 - 2026-02-28.mkv,2,2,Polar Highlands,OSR-4D,80137272137626,auto_matched
G:\Videos\aasecond wave\2026-02-28 20-28-51.mkv,mwocomp - osr-4d - polar highlands - r2g3 - 2026-02-28.mkv,2,3,Polar Highlands,OSR-4D,80592538673759,auto_matched
G:\Videos\aasecond wave\2026-02-28 20-40-20.mkv,mwocomp - bsk-6cs - hibernal rift - r2g4 - 2026-02-28.mkv,2,4,Hibernal Rift,BSK-6CS,80506639327317,auto_matched
G:\Videos\aasecond wave\2026-02-28 20-56-08.mkv,mwocomp - mal-mx90 - hibernal rift - r2g5 - 2026-02-28.mkv,2,5,Hibernal Rift,MAL-MX90,80940431026597,auto_matched
G:\Videos\aasecond wave\2026-03-07 19-12-24.mkv,mwocomp - jvn-11f - river city - r3g1 - 2026-03-07.mkv,3,1,River City,JVN-11F,126282401365220,auto_matched
G:\Videos\aasecond wave\2026-03-07 19-21-48.mkv,mwocomp - jvn-11f - frozen city night classic - r3g2 - 2026-03-07.mkv,3,2,Frozen City Night Classic,JVN-11F,126621703784443,auto_matched
G:\Videos\aasecond wave\2026-03-07 19-30-15.mkv,mwocomp - vt-5s - frozen city night classic - r3g3 - 2026-03-07.mkv,3,3,Frozen City Night Classic,VT-5S,126879401824342,auto_matched
G:\Videos\aasecond wave\2026-03-07 19-39-47.mkv,mwocomp - bsk-6cs - vitric station - r3g4 - 2026-03-07.mkv,3,4,Vitric Station,BSK-6CS,126737667902459,auto_matched
G:\Videos\aasecond wave\2026-03-07 19-48-50.mkv,mwocomp - mal-mx90 - vitric station - r3g5 - 2026-03-07.mkv,3,5,Vitric Station,MAL-MX90,126711898098410,auto_matched
G:\Videos\aasecond wave\2026-03-14 16-12-09.mkv,mwocomp - bsw-x1 - vitric station - r4g1 - 2026-03-14.mkv,4,1,Vitric Station,BSW-X1,172302976535690,auto_matched
G:\Videos\aasecond wave\2026-03-14 16-21-59.mkv,mwocomp - sdr-5k - river city - r4g2 - 2026-03-14.mkv,4,2,River City,SDR-5K,171860594901361,auto_matched
G:\Videos\aasecond wave\2026-03-14 16-34-10.mkv,mwocomp - osr-4d - river city - r4g3 - 2026-03-14.mkv,4,3,River City,OSR-4D,171486932744358,auto_matched
G:\Videos\aasecond wave\2026-03-14 16-45-16.mkv,mwocomp - mal-mx90 - frozen city night classic - r4g4 - 2026-03-14.mkv,4,4,Frozen City Night Classic,MAL-MX90,172255731895139,auto_matched
G:\Videos\aasecond wave\2026-03-14 17-03-00.mkv,mwocomp - sdr-5k - frozen city night classic - r4g5 - 2026-03-14.mkv,4,5,Frozen City Night Classic,SDR-5K,172728178300523,auto_matched
G:\Videos\aasecond wave\2026-03-21 16-09-18.mkv,mwocomp - osr-4d - emerald vale - r5g1 - 2026-03-21.mkv,5,1,Emerald Vale,OSR-4D,35787441633370,auto_matched
G:\Videos\aasecond wave\2026-03-21 16-19-36.mkv,mwocomp - fs9-k - caustic valley - r5g2 - 2026-03-21.mkv,5,2,Caustic Valley,FS9-K,36534765946953,auto_matched
G:\Videos\aasecond wave\2026-03-21 16-32-37.mkv,mwocomp - sdr-5k - caustic valley - r5g3 - 2026-03-21.mkv,5,3,Caustic Valley,SDR-5K,35564103332615,auto_matched
G:\Videos\aasecond wave\2026-03-21 16-47-20.mkv,mwocomp - bsk-6cs - terra therma crucible - r5g4 - 2026-03-21.mkv,5,4,Terra Therma Crucible,BSK-6CS,36569125685578,auto_matched
G:\Videos\aasecond wave\2026-03-21 17-00-22.mkv,mwocomp - vt-5s - terra therma crucible - r5g5 - 2026-03-21.mkv,5,5,Terra Therma Crucible,VT-5S,36354377319492,auto_matched
